id_projeto_pesquisa,codigo_projeto,titulo,palavras_chave,id_projeto,ano,data_inicio,data_fim,situacao,tipo_projeto,categoria_projeto,id_unidade,unidade,id_coordenador,coordenador,edital,id_grupo_pesquisa,grupo_pesquisa,linha_pesquisa,area_conhecimento_cnpq,objetivos_desenvolvimento_sustentavel
1173404,PVD1488-2007,CONTROLE DE QUALIDADE MICROBIOLÓGICO DE PEDÚNCULOS DE CAJU SUBMETIDOS A TRATAMENTO COM CÁLCIO,"caju, pós-colheita, análises microbiológicas, cálcio",1173404,2007,2007/07/04 00:00:00.000,2008/06/04 00:00:00.000,EM EXECUÇÃO,EXTERNO,Pesquisa Científica,203,departamento de nutrição,,,,107.0,"ALIMENTOS, NUTRIÇÃO E SAÚDE",informática em saúde;nutrição e qualidade de vida;nutrição humana;ciência dos alimentos,avaliação e controle de qualidade de alimentos,
1080550,PVG1119-2007,PROVIRTUS I -  CMRV ( Construção de Ambientes Virtuais e Simulações - Suporte ao Centro Móvel de Realidade Virtual ),"realidade virtual, modelagem 3d, cad, computação gráfica, simulação",1080550,2007,2007/08/01 00:00:00.000,2008/07/31 00:00:00.000,RENOVADO,INTERNO,Pesquisa Científica,50,departamento de engenharia mecanica,,,,22.0,MECÂNICA COMPUTACIONAL,"cax, visualizção científica e realidade virtual",fundamentos gerais de projetos das máquinas,
5548348,PVG1119-2008,PROVIRTUS I -  CMRV ( Construção de Ambientes Virtuais e Simulações - Suporte ao Centro Móvel de Realidade Virtual ),"realidade virtual, modelagem 3d, cad, computação gráfica, simulação",5548348,2007,2008/08/01 00:00:00.000,2009/07/31 00:00:00.000,RENOVADO,INTERNO,Pesquisa Científica,50,departamento de engenharia mecanica,,,,22.0,MECÂNICA COMPUTACIONAL,"cax, visualizção científica e realidade virtual",fundamentos gerais de projetos das máquinas,
1180526,PVG1569-2007,Desenvolvimento de SIG para Monitoramento Ambiental,"sig, monitoramento ambiental",1180526,2007,2007/08/01 00:00:00.000,2008/07/31 00:00:00.000,FINALIZADO,INTERNO,Pesquisa Científica,56,departamento de engenharia de computacao e automacao,,,,20.0,SISTEMAS INTELIGENTES,sistemas de computação;robótica espacial;processamento de imagens;,metodologia e técnicas da computação,
1197977,PVG1676-2007,Análise da utilização conjunta da aprendizagem por reforço e de metaheurísticas na solução de problemas de otimização combinatória,"aprendizagem por reforço, metaheurísticas, otimização combinatória, computação inteligente",1197977,2007,2007/08/01 00:00:00.000,2008/07/31 00:00:00.000,RENOVADO,INTERNO,Pesquisa Científica,56,departamento de engenharia de computacao e automacao,,,,20.0,SISTEMAS INTELIGENTES,processamento inteligente da informação,multidisciplinar,
1173400,PVG319-2007,Desenvolvimento de técnicas de percepção robótica,percepção robótica;visão estéreo;navegação,1173400,2007,2007/08/01 00:00:00.000,2008/07/31 00:00:00.000,FINALIZADO,INTERNO,Pesquisa Científica,1572,ct vice-diretoria,,,,20.0,SISTEMAS INTELIGENTES,sistemas de computação;visão computacional;robótica;,sistemas de computação,
1173402,PVG328-2007,Desenvolvimento de Técnica para Monitoramento Ambiental Usando Imagens do Tipo SFAP Obtidas a partir de Helicóptero Aeromodelo e Subaquáticas,monitoramento ambiental;visão computacional;processamento de imagens,1173402,2007,2007/08/01 00:00:00.000,2008/07/31 00:00:00.000,RENOVADO,EXTERNO,Pesquisa Científica,1572,ct vice-diretoria,,,,20.0,SISTEMAS INTELIGENTES,sistemas de computação;robótica espacial;processamento de imagens;,sistemas de computação,
1201382,PVG833-2007,COMPRESSÃO DE IMAGENS USANDO REDES NEURAIS ARTIFICIAIS,compressão de imagens;redes neurais artificiais;sistemas auto-organizáveis,1201382,2007,2007/08/01 00:00:00.000,2008/07/31 00:00:00.000,EM EXECUÇÃO,INTERNO,Pesquisa Científica,1572,ct vice-diretoria,,,,20.0,SISTEMAS INTELIGENTES,processamento de imagens;redes neurais artificiais;compressão de imagens;sistemas auto-organizáveis,sistemas de computação,
40525,PIB601-2006,Estudos de Modernização Tecnológica do DETRAN,sistemas distribuídos;sistemas web;integração de sistemas,40525,2006,2006/03/01 00:00:00.000,2006/12/01 00:00:00.000,EM EXECUÇÃO,EXTERNO,Pesquisa Científica,439,centro de ciências exatas e da terra,,,,1.0,ISOLADO,sistemas de computação;redes de computadores;sistemas distribuidos;sistemas para web,sistemas de computação,
41336,PIG436-2006,Segmentação de Mercado Multi-Aspectos Através de Mapas Auto-Organizáveis Concorrentes,redes neurais auto-organizáveis;segmentação de mercados;sistemas de computação,41336,2006,2006/07/01 00:00:00.000,2006/07/01 00:00:00.000,RENOVADO,INTERNO,Pesquisa Científica,1572,ct vice-diretoria,,,,1.0,ISOLADO,redes neurais artificiais ;mineração de dados;sistemas inteligentes;segmentação de mercados,sistemas de computação,
41338,PIG438-2006,Segmentação de imagens médicas utilizando técnicas híbridas baseadas em Particle Swarm Optimization e Fuzzy C-Means,segmentação de imagens médicas;processamento de sinais e imagens;sistemas de computação,41338,2006,2006/07/01 00:00:00.000,2007/06/01 00:00:00.000,RENOVADO,INTERNO,Pesquisa Científica,1572,ct vice-diretoria,,,,1.0,ISOLADO,segmentação de imagens médicas;algoritmos de agrupamento de dados;sistemas nebulosos;processamento de sinais e imagens,sistemas de computação,
41341,PIG444-2006,Desenvolvimento de uma ferramenta para mineração de informações na Web usando redes neurais auto-organizáveis hierárquicas,organização e recuperação de informações;redes neurais auto-organizáveis;sistemas hierárquicos,41341,2006,2006/08/01 00:00:00.000,2007/08/01 00:00:00.000,EM EXECUÇÃO,INTERNO,Pesquisa Científica,1572,ct vice-diretoria,,,,1.0,ISOLADO,mineração de dados;redes neurais auto-organizáveis ;sistemas hierárquicos;organização e recuperação de informações,sistemas de computação,
40765,PIH488-2006,Sistema Informatizado de Apoio ao Ensino de Piano,inteligência artificial;música;computação,40765,2006,2006/08/01 00:00:00.000,2007/08/01 00:00:00.000,RENOVADO,INTERNO,Pesquisa Científica,284,escola de música,,,,1.0,ISOLADO,música;computação;inteligência artificial;,administração de empresas,
41098,PVB113-2006,Tecnologias para Interação Humano-Computador utilizando Telefones Móveis,interação humano-computador;interação telefonia móvel e computadores;computação móvel,41098,2006,2006/08/01 00:00:00.000,2007/08/01 00:00:00.000,FINALIZADO,INTERNO,Pesquisa Científica,439,centro de ciências exatas e da terra,,,,89.0,ConSiste: Concepção de Sistemas de Computação,engenharia de software;interação humano-computador;computação ubíqua;,administração de empresas,
41092,PVB135-2006,Redes em Chip: Exploração do espaço de projeto e aplicações,redes em chip;sistemas integrados;sistemas digitais,41092,2006,2006/08/01 00:00:00.000,2008/07/01 00:00:00.000,RENOVADO,INTERNO,Pesquisa Científica,439,centro de ciências exatas e da terra,,,,89.0,ConSiste: Concepção de Sistemas de Computação,concepção de sistemas digitais;;;,sistemas de computação,
41114,PVB137-2006,Desenvolvimento do Módulo de Renderização de um Motor Gráfico para a Visualização de Dados Via Ambientes Virtuais Colaboratios,ambiente virtual colaborativo;motor gráfico;visualização de dados,41114,2006,2006/06/01 00:00:00.000,2007/06/01 00:00:00.000,FINALIZADO,INTERNO,Pesquisa Científica,439,centro de ciências exatas e da terra,,,,87.0,"Computability, Approximate Reasoning, Ordered structures and Logics",computação gráfica;visualização científica;realidade virtual;ambientes virtuais colaborativos,sistemas de computação,
41117,PVB140-2006,BuscaPeer - Localização de Informações em  Redes Peer-to-Peer,redes peer-to-peer;localização de informações;sistemas distribuidos,41117,2006,2006/08/01 00:00:00.000,2007/08/01 00:00:00.000,RENOVADO,INTERNO,Pesquisa Científica,439,centro de ciências exatas e da terra,,,,89.0,ConSiste: Concepção de Sistemas de Computação,sistemas integrados e distribuídos;;;,sistemas de computação,
